06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:114548 NLRP3; NLR family pyrin domain containing 3
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:8890 EIF2B4; eukaryotic translation initiation factor 2B subunit delta
  hsa:8893 EIF2B5; eukaryotic translation initiation factor 2B subunit epsilon
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:6426 SRSF1; serine and arginine rich splicing factor 1
  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:8480 RAE1; ribonucleic acid export 1
 
06214 PI3K signaling (24)

  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:867 CBL; Cbl proto-oncogene
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:154 ADRB2; adrenoceptor beta 2
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:2100 ESR2; estrogen receptor 2
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
 
06273 Glioma (24)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:815 CAMK2A; calcium/calmodulin dependent protein kinase II alpha
  hsa:816 CAMK2B; calcium/calmodulin dependent protein kinase II beta
  hsa:818 CAMK2G; calcium/calmodulin dependent protein kinase II gamma
  hsa:814 CAMK4; calcium/calmodulin dependent protein kinase IV
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06114 PI3K signaling (viruses) (23)

  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5518 PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha
  hsa:5519 PPP2R1B; protein phosphatase 2 scaffold subunit Abeta
  hsa:5528 PPP2R5D; protein phosphatase 2 regulatory subunit B'delta
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
 
06210 ERK signaling (23)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:4914 NTRK1; neurotrophic receptor tyrosine kinase 1
  hsa:2100 ESR2; estrogen receptor 2
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:1137 CHRNA4; cholinergic receptor nicotinic alpha 4 subunit
 
06260 Colorectal cancer (23)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:5898 RALA; RAS like proto-oncogene A
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:4089 SMAD4; SMAD family member 4
  hsa:1630 DCC; DCC netrin 1 receptor
 
06266 Non-small cell lung cancer (23)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:83593 RASSF5; Ras association domain family member 5
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06418 Oxidative phosphorylation (22)

  hsa:4540 ND5; NADH dehydrogenase subunit 5
  hsa:4719 NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1
  hsa:4720 NDUFS2; NADH:ubiquinone oxidoreductase core subunit S2
  hsa:4722 NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3
  hsa:4724 NDUFS4; NADH:ubiquinone oxidoreductase subunit S4
  hsa:374291 NDUFS7; NADH:ubiquinone oxidoreductase core subunit S7
  hsa:4728 NDUFS8; NADH:ubiquinone oxidoreductase core subunit S8
  hsa:4723 NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1
  hsa:4694 NDUFA1; NADH:ubiquinone oxidoreductase subunit A1
  hsa:4698 NDUFA5; NADH:ubiquinone oxidoreductase subunit A5
  hsa:4700 NDUFA6; NADH:ubiquinone oxidoreductase subunit A6
  hsa:126328 NDUFA11; NADH:ubiquinone oxidoreductase subunit A11
  hsa:4714 NDUFB8; NADH:ubiquinone oxidoreductase subunit B8
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:4137 MAPT; microtubule associated protein tau
  hsa:6389 SDHA; succinate dehydrogenase complex flavoprotein subunit A
  hsa:3064 HTT; huntingtin
  hsa:1537 CYC1; cytochrome c1
  hsa:4514 COX3; cytochrome c oxidase subunit III
  hsa:4512 COX1; cytochrome c oxidase subunit I
  hsa:4513 COX2; cytochrome c oxidase subunit II
  hsa:1340 COX6B1; cytochrome c oxidase subunit 6B1
 
06110 MAPK signaling (viruses and bacteria) (21)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:7531 YWHAE; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:998 CDC42; cell division cycle 42
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
 
06125 Membrane trafficking (bacteria) (21)

  hsa:375 ARF1; ADP ribosylation factor 1
  hsa:1314 COPA; COPI coat complex subunit alpha
  hsa:9276 COPB2; COPI coat complex subunit beta 2
  hsa:372 ARCN1; archain 1
  hsa:51399 TRAPPC4; trafficking protein particle complex subunit 4
  hsa:122553 TRAPPC6B; trafficking protein particle complex subunit 6B
  hsa:1778 DYNC1H1; dynein cytoplasmic 1 heavy chain 1
  hsa:1781 DYNC1I2; dynein cytoplasmic 1 intermediate chain 2
  hsa:51143 DYNC1LI1; dynein cytoplasmic 1 light intermediate chain 1
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:55823 VPS11; VPS11 core subunit of CORVET and HOPS complexes
  hsa:64601 VPS16; VPS16 core subunit of CORVET and HOPS complexes
 
06361 Hypogonadotropic hypogonadism (20)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:2770 GNAI1; G protein subunit alpha i1
 
06018 GPI-anchor biosynthesis (19)

  hsa:5277 PIGA; phosphatidylinositol glycan anchor biosynthesis class A
  hsa:5279 PIGC; phosphatidylinositol glycan anchor biosynthesis class C
  hsa:5283 PIGH; phosphatidylinositol glycan anchor biosynthesis class H
  hsa:51227 PIGP; phosphatidylinositol glycan anchor biosynthesis class P
  hsa:9091 PIGQ; phosphatidylinositol glycan anchor biosynthesis class Q
  hsa:84992 PIGY; phosphatidylinositol glycan anchor biosynthesis class Y
  hsa:9487 PIGL; phosphatidylinositol glycan anchor biosynthesis class L
  hsa:284098 PIGW; phosphatidylinositol glycan anchor biosynthesis class W
  hsa:55650 PIGV; phosphatidylinositol glycan anchor biosynthesis class V
  hsa:23556 PIGN; phosphatidylinositol glycan anchor biosynthesis class N
  hsa:9488 PIGB; phosphatidylinositol glycan anchor biosynthesis class B
  hsa:84720 PIGO; phosphatidylinositol glycan anchor biosynthesis class O
  hsa:54872 PIGG; phosphatidylinositol glycan anchor biosynthesis class G
  hsa:8733 GPAA1; glycosylphosphatidylinositol anchor attachment 1
  hsa:10026 PIGK; phosphatidylinositol glycan anchor biosynthesis class K
  hsa:94005 PIGS; phosphatidylinositol glycan anchor biosynthesis class S
  hsa:51604 PIGT; phosphatidylinositol glycan anchor biosynthesis class T
  hsa:128869 PIGU; phosphatidylinositol glycan anchor biosynthesis class U
  hsa:80055 PGAP1; post-GPI attachment to proteins inositol deacylase 1
 
06024 Valine, leucine and isoleucine degradation (19)

  hsa:593 BCKDHA; branched chain keto acid dehydrogenase E1 subunit alpha
  hsa:594 BCKDHB; branched chain keto acid dehydrogenase E1 subunit beta
  hsa:1629 DBT; dihydrolipoamide branched chain transacylase E2
  hsa:1738 DLD; dihydrolipoamide dehydrogenase
  hsa:3712 IVD; isovaleryl-CoA dehydrogenase
  hsa:34 ACADM; acyl-CoA dehydrogenase medium chain
  hsa:56922 MCCC1; methylcrotonyl-CoA carboxylase subunit 1
  hsa:64087 MCCC2; methylcrotonyl-CoA carboxylase subunit 2
  hsa:549 AUH; AU RNA binding methylglutaconyl-CoA hydratase
  hsa:3155 HMGCL; 3-hydroxy-3-methylglutaryl-CoA lyase
  hsa:35 ACADS; acyl-CoA dehydrogenase short chain
  hsa:1892 ECHS1; enoyl-CoA hydratase, short chain 1
  hsa:3030 HADHA; hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
  hsa:26275 HIBCH; 3-hydroxyisobutyryl-CoA hydrolase
  hsa:3033 HADH; hydroxyacyl-CoA dehydrogenase
  hsa:3028 HSD17B10; hydroxysteroid 17-beta dehydrogenase 10
  hsa:5095 PCCA; propionyl-CoA carboxylase subunit alpha
  hsa:5096 PCCB; propionyl-CoA carboxylase subunit beta
  hsa:4594 MMUT; methylmalonyl-CoA mutase
 
06165 Epstein-Barr virus (EBV) (19)

  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:7874 USP7; ubiquitin specific peptidase 7
  hsa:3516 RBPJ; recombination signal binding protein for immunoglobulin kappa J region
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06262 Pancreatic cancer (19)

  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5898 RALA; RAS like proto-oncogene A
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06275 Acute myeloid leukemia (19)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:1436 CSF1R; colony stimulating factor 1 receptor
  hsa:8864 PER2; period circadian regulator 2
  hsa:7704 ZBTB16; zinc finger and BTB domain containing 16
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06419 Microtubule-based transport (19)

  hsa:10540 DCTN2; dynactin subunit 2
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:3064 HTT; huntingtin
  hsa:6647 SOD1; superoxide dismutase 1
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:1457 CSNK2A1; casein kinase 2 alpha 1
  hsa:1460 CSNK2B; casein kinase 2 beta
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:4137 MAPT; microtubule associated protein tau
 
06220 Calcium signaling (18)

  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:815 CAMK2A; calcium/calmodulin dependent protein kinase II alpha
  hsa:816 CAMK2B; calcium/calmodulin dependent protein kinase II beta
  hsa:818 CAMK2G; calcium/calmodulin dependent protein kinase II gamma
  hsa:814 CAMK4; calcium/calmodulin dependent protein kinase IV
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
 
06264 Renal cell carcinoma (18)

  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:6513 SLC2A1; solute carrier family 2 member 1
  hsa:8453 CUL2; cullin 2
  hsa:7030 TFE3; transcription factor binding to IGHM enhancer 3
 
06271 Endometrial cancer (18)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06274 Thyroid cancer (18)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
