genes,count,samples,KEGG_entry_ID,name
RFX7,6,"{'20A0008882': 1, 'DS184317': 1, '19PA009669': 1, '19CT034643': 1, '20A0004025': 1, '19CT016403': 1}",,
PXDN,6,"{'19CT040719': 1, '19CT030002': 1, '19CT028732': 1, '19CT036523': 1, '20A0000618': 1, '19CT041822': 1}",hsa:7837,peroxidasin
DPP4,6,"{'20A0002478': 1, '19CT030702': 1, '19CT046641': 1, '19CT034641': 1, '19CT034845': 1, '19CT031909': 1}",hsa:1803,dipeptidyl peptidase 4
PIDD1,6,"{'19CT046369': 1, '19CT039196': 1, '19CT024234': 1, '20A0001282': 1, '19CT021756': 1, '19CT041822': 1}",hsa:55367,p53-induced death domain protein 1
NBEA,6,"{'19CT036423': 1, '20A0000620': 1, '18PA004616': 1, '19CT024299': 1, '19CT039890': 1, '19CT041822': 1}",hsa:26960,neurobeachin
SETD1A,6,"{'19CT051360': 1, '20A0002973': 1, '19CT036523': 1, '20A0007427': 1, '19CT016403': 1, '20A0004030': 1}",hsa:9739,"SET domain containing 1A, histone lysine methyltransferase"
CRB2,6,"{'19CT024233': 2, '18PA004715': 2, '19CT045844': 1, '19CT021756': 1}",hsa:286204,crumbs cell polarity complex component 2
RPGRIP1L,6,"{'19CT051360': 1, '19CT024854': 1, '19CT046641': 1, '19CT039895': 1, '20A0004327': 1, '19CT039890': 1}",hsa:23322,RPGRIP1 like
BBS5,6,"{'19CT030702': 1, '19CT036423': 1, '19CT034641': 1, '19PA009666': 1, '19CT013554': 1, '19PA009669': 1}",hsa:129880,Bardet-Biedl syndrome 5
KIF1C,6,"{'19CT051360': 1, '19CT034641': 1, '19CT024234': 2, '18PA004940': 1, '19CT021756': 1}",hsa:10749,kinesin family member 1C
ARID2,6,"{'20A0002478': 2, '19CT046641': 1, '19CT044501': 1, '19CT013554': 1, '19CT031559': 1}",hsa:196528,AT-rich interaction domain 2
YEATS2,6,"{'19PA009426': 1, '19CT036423': 1, '19CT039895': 1, '19CT024299': 1, '19CT039890': 1, '19CT034643': 1}",hsa:55689,YEATS domain containing 2
DISC1,6,"{'DS187051': 1, '20A0008698': 1, '19PA009666': 1, '19CT039196': 1, '19PA009444': 1, '20A0008696': 1}",hsa:27185,DISC1 scaffold protein
INTS1,6,"{'19CT048087': 1, '19CT035369': 1, '19PA009669': 1, '19CT030925': 1, '19PA009214': 1, '19CT014597': 1}",hsa:26173,integrator complex subunit 1
IQSEC1,6,"{'19PA009450': 1, '19PA009426': 1, '19CT036423': 1, '19CT034641': 1, '20A0007427': 1, '20A0004401': 1}",hsa:9922,IQ motif and Sec7 domain ArfGEF 1
PEPD,6,"{'19PA009450': 1, '20A0002973': 1, '20A0007427': 1, '19CT031559': 1, '18PA004940': 1, '19PA009214': 1}",hsa:5184,peptidase D
DONSON,6,"{'19CT051360': 2, '19CT036423': 1, '19CT016837': 1, '19CT044566': 1, '19CT041747': 1}",hsa:29980,DNA replication fork stabilization factor DONSON
MAML3,6,"{'19CT048087': 1, '20A0008882': 1, '18PA004616': 1, '19CT024296': 1, '20A0007427': 1, '19CT045844': 1}",hsa:55534,mastermind like transcriptional coactivator 3
CPS1,6,"{'DS184317': 1, '20A0000620': 1, '19CT040892': 1, '18PA004715': 1, '19CT046414': 1, '19PA009214': 1}",hsa:1373,carbamoyl-phosphate synthase 1
AUTS2,6,"{'20A0002478': 1, '19CT028732': 1, '19CT040892': 1, '19CT039196': 1, '20A0007427': 2}",hsa:26053,activator of transcription and developmental regulator AUTS2
RAB11FIP5,6,"{'20A0002478': 1, '19CT036423': 1, '20A0000620': 1, '19CT044501': 1, '19CT013554': 1, '20A0004030': 1}",hsa:26056,RAB11 family interacting protein 5
NFASC,6,"{'19CT048087': 1, '19CT044751': 1, '19PA009669': 1, '19CT030925': 1, '19CT045844': 2}",hsa:23114,neurofascin
FLAD1,6,"{'19CT048087': 1, '19CT024233': 1, '20A0008698': 1, '19CT045844': 2, '20A0008696': 1}",hsa:80308,flavin adenine dinucleotide synthetase 1
ZNF774,6,"{'19PA009450': 1, '19CT046641': 1, '19CT028732': 1, '18PA004715': 1, '20A0004401': 1, '19PA009214': 1}",,
WDR62,6,"{'19CT051360': 1, '19CT020478': 1, '19CT028732': 1, '18PA008847': 1, '19CT044338': 1, '19CT014597': 1}",hsa:284403,WD repeat domain 62
ANKRD17,6,"{'DS187051': 1, '19CT024854': 1, '19CT028732': 1, '20A0000620': 1, '20A0004401': 1, '20A0004025': 1}",hsa:26057,ankyrin repeat domain 17
RBM28,6,"{'20A0004217': 1, '19CT052347': 1, '19CT044338': 2, '20A0004327': 1, '20A0007427': 1}",hsa:55131,RNA binding motif protein 28
PLXNA4,6,"{'19PA009450': 1, '18PA004934': 1, '19PA009669': 1, '19CT030925': 1, '19CT016404': 1, '19CT039201': 1}",hsa:91584,plexin A4
DNAH10,6,"{'19CT048087': 1, '19CT040732': 1, '19CT016837': 1, '19CT036523': 1, '18PA004715': 1, '20A0002445': 1}",hsa:196385,dynein axonemal heavy chain 10
VPS13D,6,"{'19CT024233': 1, '18PA004616': 1, '19CT035369': 1, '19CT044338': 1, '20A0008697': 1, '19CT021756': 1}",hsa:55187,vacuolar protein sorting 13 homolog D
KIAA1586,6,"{'19CT051360': 1, '20A0002478': 1, '19CT039895': 1, '19PA009444': 2, '19CT039890': 1}",hsa:57691,E3 SUMO-protein ligase
SZT2,6,"{'19CT046369': 1, '19PA009666': 1, '19CT035369': 1, '19CT041747': 1, '20A0002063': 1, '19CT041822': 1}",hsa:23334,SZT2 subunit of KICSTOR complex
NCOA1,6,"{'19CT028732': 1, '19PA009666': 1, '20A0002445': 1, '19CT041747': 1, '19CT031559': 1, '19CT041822': 1}",hsa:8648,nuclear receptor coactivator 1
RALGAPA1,6,"{'19CT020478': 1, '18PA008847': 1, '19CT052347': 1, '19CT030925': 1, '19CT031559': 1, '20A0000618': 1}",,
ITPR1,6,"{'20A0002478': 1, '19CT024854': 1, '20A0004217': 1, 'DS184317': 1, '19CT052347': 1, '20A0004327': 1}",hsa:3708,"inositol 1,4,5-trisphosphate receptor type 1"
NBAS,6,"{'20A0002973': 1, '19CT036423': 1, '20A0004392': 1, '19PA009444': 1, '19CT045844': 1, '19CT041822': 1}",hsa:51594,NBAS subunit of NRZ tethering complex
PCDHA11,6,"{'19CT046369': 1, '19CT034641': 1, '19CT040892': 1, '19CT024296': 1, '19CT024299': 1, '20A0007427': 1}",hsa:56138,protocadherin alpha 11
CHKB,6,"{'19CT044120': 1, '19CT030002': 1, '19CT024854': 1, '19CT046641': 1, '19CT016404': 1, '20A0000618': 1}",hsa:1120,choline kinase beta
KIF13B,6,"{'19CT044751': 1, '18PA004715': 1, '19CT024296': 1, '19CT024299': 1, '20A0004327': 1, '19PA009214': 1}",hsa:23303,kinesin family member 13B
PAX8,6,"{'19CT046369': 1, '19PA009450': 1, '19CT013554': 1, '20A0008697': 1, '19CT046414': 1, '20A0008696': 1}",hsa:7849,paired box 8
SMC2,6,"{'20A0004325': 1, '20A0004217': 1, '19CT036523': 1, '19CT052347': 1, '20A0002445': 1, '19PA009669': 1}",hsa:10592,structural maintenance of chromosomes 2
NCOR1,6,"{'19CT044751': 1, '19PA009426': 1, '20A0004217': 1, '20A0004327': 1, '19PA009214': 1, '19CT039201': 1}",hsa:9611,nuclear receptor corepressor 1
LBR,6,"{'19CT046369': 1, 'DS187051': 1, '20A0004325': 1, '19CT036423': 1, '20A0004217': 1, '19CT024296': 1}",hsa:3930,lamin B receptor
TENM1,6,"{'19CT048087': 1, '20A0002478': 1, '19CT028732': 1, '18PA004934': 1, '19CT044501': 1, '20A0000412': 1}",hsa:10178,teneurin transmembrane protein 1
KIF14,6,"{'20A0002973': 1, '19CT030702': 1, '19CT035369': 1, '19CT030925': 1, '18PA004940': 1, '20A0004030': 1}",hsa:9928,kinesin family member 14
PPP1R12A,6,"{'19CT040732': 1, '20A0000620': 1, '19PA009666': 1, '19CT036523': 1, '19CT044501': 1, '18PA004940': 1}",hsa:4659,protein phosphatase 1 regulatory subunit 12A
RIMS2,6,"{'20A0004325': 1, '19CT016837': 1, '20A0004217': 1, '18PA006387': 1, '19CT024296': 1, '19CT024299': 1}",hsa:9699,regulating synaptic membrane exocytosis 2
MYH14,6,"{'19CT028732': 2, '20A0004392': 1, '19CT035369': 1, '19CT016404': 1, '19CT041822': 1}",hsa:79784,myosin heavy chain 14
INTS8,6,"{'19CT034641': 1, '18PA004616': 1, '20A0008697': 1, '19CT045844': 1, '20A0008696': 1, '19CT016403': 1}",hsa:55656,integrator complex subunit 8
CPA6,6,"{'19CT030002': 1, '19CT024854': 1, '19CT039196': 1, '20A0008697': 1, '20A0004025': 1, '19CT041822': 1}",hsa:57094,carboxypeptidase A6
DLX6,6,"{'19CT034641': 1, '19CT036523': 1, '19CT052347': 1, '19CT024234': 1, '19CT039890': 1, '19CT021756': 1}",hsa:1750,distal-less homeobox 6
ASPM,6,"{'20A0002973': 1, '19CT040732': 1, '19CT034845': 1, '20A0000412': 1, '20A0001282': 1, '19CT014597': 1}",hsa:259266,assembly factor for spindle microtubules
SMPD1,6,"{'20A0004325': 1, '19CT028732': 1, '20A0004217': 1, '19CT041295': 1, '20A0004327': 1, '19CT041822': 1}",hsa:6609,sphingomyelin phosphodiesterase 1
PEX6,5,"{'19CT040732': 1, '19PA009426': 1, '19CT024854': 1, '20A0000412': 1, '19CT031909': 1}",hsa:5190,peroxisomal biogenesis factor 6
MED13L,5,"{'19CT040732': 1, '19CT036423': 1, '19CT016404': 1, '18PA004940': 1, '19CT041822': 1}",hsa:23389,mediator complex subunit 13L
FBXO11,5,"{'19PA009426': 1, '19CT046641': 1, '18PA008847': 1, '18PA004934': 1, '19CT030925': 1}",hsa:80204,F-box protein 11
TECPR2,5,"{'19CT044751': 2, '19CT013554': 1, '20A0008697': 1, '20A0008696': 1}",hsa:9895,tectonin beta-propeller repeat containing 2
PNKP,5,"{'20A0008882': 1, '19CT036423': 1, '20A0000620': 1, '19CT036523': 1, '19CT031559': 1}",hsa:11284,polynucleotide kinase 3'-phosphatase
CNTN4,5,"{'19PA009450': 1, 'DS184317': 1, '20A0000620': 1, '19CT040892': 1, '19CT046414': 1}",hsa:152330,contactin 4
MYLK,5,"{'19PA009450': 1, '20A0004392': 1, '18PA004934': 1, '19CT016404': 1, '20A0000618': 1}",hsa:4638,myosin light chain kinase
LARP7,5,"{'19PA009450': 1, '20A0008698': 1, '20A0002445': 1, '19CT034643': 1, '20A0008696': 1}",hsa:51574,"La ribonucleoprotein 7, transcriptional regulator"
HMGXB3,5,"{'19PA009450': 1, '20A0004325': 1, '20A0008882': 1, '20A0004217': 1, '20A0004327': 1}",,
ARHGAP32,5,"{'DS187051': 1, '20A0008698': 1, '18PA008847': 1, '18PA004934': 1, '19CT016404': 1}",hsa:9743,Rho GTPase activating protein 32
ZNF517,5,"{'19PA009450': 1, '19CT034641': 2, '19PA009666': 1, '19PA009669': 1}",hsa:340385,zinc finger protein 517
CTNNA3,5,"{'19PA009450': 1, '19CT036423': 1, '19CT036523': 2, '19CT013554': 1}",hsa:29119,catenin alpha 3
PIK3R2,5,"{'19PA009450': 1, '19PA009666': 1, '18PA006387': 1, '19CT052347': 1, '19PA009669': 1}",hsa:5296,phosphoinositide-3-kinase regulatory subunit 2
PDPR,5,"{'19CT020478': 1, '18PA006387': 1, '19CT045844': 1, '20A0004025': 1, '19CT016403': 1}",hsa:55066,pyruvate dehydrogenase phosphatase regulatory subunit
NSD2,5,"{'20A0002973': 1, '19CT024854': 1, '19PA009666': 1, '18PA004616': 1, '19PA009669': 1}",hsa:7468,nuclear receptor binding SET domain protein 2
PCCB,5,"{'19CT020478': 1, '19CT016837': 1, '20A0000412': 1, '18PA004940': 1, '19CT045844': 1}",hsa:5096,propionyl-CoA carboxylase subunit beta
KIZ,5,"{'20A0002973': 1, '19CT024854': 1, '19CT052347': 1, '19CT039196': 1, '19CT014597': 1}",hsa:55857,kizuna centrosomal protein
DDHD2,5,"{'20A0002973': 2, '19CT036523': 1, '19CT013554': 1, '19PA009444': 1}",hsa:23259,DDHD domain containing 2
CHD4,5,"{'19CT020478': 1, '19CT036423': 1, '18PA008847': 1, '19CT036523': 1, '19CT039196': 1}",hsa:1108,chromodomain helicase DNA binding protein 4
ERCC6,5,"{'20A0002973': 2, '19CT040892': 1, '20A0002445': 1, '20A0008697': 1}",hsa:2074,"ERCC excision repair 6, chromatin remodeling factor"
KCNMA1,5,"{'19CT020478': 1, '19CT035369': 2, '20A0008697': 1, '19CT031559': 1}",hsa:3778,potassium calcium-activated channel subfamily M alpha 1
MADD,5,"{'19CT030702': 1, '20A0008882': 1, '19CT040892': 1, '20A0004392': 1, '19CT039201': 1}",,
ZNF217,5,"{'19CT044751': 1, '20A0004217': 1, '20A0004327': 1, '18PA004940': 2}",,
AP3B2,5,"{'20A0002478': 1, '19PA009450': 1, '19CT036523': 1, '20A0007427': 1, '19CT031559': 1}",hsa:8120,adaptor related protein complex 3 subunit beta 2
CNTN5,5,"{'19CT030702': 1, '19CT024233': 1, '18PA004715': 1, '20A0007427': 2}",hsa:53942,contactin 5
BLM,5,"{'20A0002478': 1, '19CT036423': 1, '18PA008847': 1, '19CT044338': 1, '19CT016403': 1}",hsa:641,BLM RecQ like helicase
TELO2,5,"{'20A0008882': 1, '19CT046641': 1, '20A0004392': 1, '19CT039196': 1, '19PA009669': 1}",hsa:9894,telomere maintenance 2
NINL,5,"{'20A0002478': 1, '20A0004325': 1, '20A0004217': 1, '19CT044501': 1, '20A0000412': 1}",hsa:22981,ninein like
CCSER1,5,"{'20A0008882': 1, '19CT024854': 1, '20A0004392': 1, '18PA004715': 1, '19PA009214': 1}",,
RERE,5,"{'20A0008882': 1, '19CT034641': 2, '18PA004715': 1, '19PA009214': 1}",hsa:473,arginine-glutamic acid dipeptide repeats
FKRP,5,"{'20A0004325': 1, '20A0004217': 1, '20A0000620': 1, '19CT040892': 1, '19CT039196': 1}",hsa:79147,fukutin related protein
BRD4,5,"{'20A0004325': 1, '20A0004217': 1, '19CT034641': 1, '20A0004392': 1, '20A0004401': 1}",hsa:23476,bromodomain containing 4
TMEM201,5,"{'19CT044751': 1, '19CT039196': 1, '18PA004715': 1, '19CT034643': 1, '20A0004030': 1}",,
CELF4,5,"{'20A0004325': 1, '20A0004217': 1, '19PA009444': 1, '20A0000412': 1, '20A0001282': 1}",hsa:56853,CUGBP Elav-like family member 4
MYO5C,5,"{'20A0004325': 1, '20A0008698': 2, '20A0008696': 2}",hsa:55930,myosin VC
BAZ2B,5,"{'19CT030002': 1, '19CT024854': 1, '19CT035369': 1, '19CT039196': 1, '20A0002445': 1}",,
DNER,5,"{'19CT030002': 1, '19CT024233': 1, '19CT052347': 1, '19CT034643': 1, '19CT021756': 1}",hsa:92737,delta/notch like EGF repeat containing
CENPE,5,"{'19CT030002': 1, '19CT028732': 1, '20A0004392': 2, '19CT039890': 1}",hsa:1062,centromere protein E
ZNF292,5,"{'19CT030002': 1, '19CT036423': 2, '19CT013554': 1, '20A0008697': 1}",,
RIN3,5,"{'19CT044751': 1, '19CT024233': 1, '19CT046414': 1, '19CT034643': 1, '19CT021756': 1}",hsa:79890,Ras and Rab interactor 3
ATAD3A,5,"{'19CT051360': 2, '19CT030002': 1, '20A0000620': 1, '19CT041822': 1}",hsa:55210,ATPase family AAA domain containing 3A
TTC25,5,"{'19CT046369': 1, '20A0000620': 1, '19CT034641': 1, '18PA008847': 1, '19CT024296': 1}",hsa:83538,tetratricopeptide repeat protein 25
AARS1,5,"{'19CT034631': 1, '19PA009666': 1, '19CT013554': 1, '19PA009669': 1, '20A0004030': 1}",hsa:16,alanyl-tRNA synthetase 1
PAH,5,"{'19CT046369': 1, '20A0002478': 1, '19CT039895': 1, '19CT039890': 1, '19CT016403': 1}",hsa:5053,phenylalanine hydroxylase
MCM4,5,"{'19CT034845': 1, '19CT039196': 1, '19CT041295': 1, '19CT024296': 1, '20A0000618': 1}",hsa:4173,minichromosome maintenance complex component 4
MED25,5,"{'19CT051360': 1, '19CT020478': 1, '18PA008847': 1, '19PA009444': 1, '19CT041747': 1}",hsa:81857,mediator complex subunit 25
CYP11B1,5,"{'19CT048087': 1, 'DS187051': 1, '20A0000620': 1, '19CT052347': 1, '20A0004327': 1}",hsa:1584,cytochrome P450 family 11 subfamily B member 1
SCN2A,5,"{'19CT039895': 1, '19CT039890': 1, '19CT041747': 1, '20A0001282': 1, '18PA004940': 1}",hsa:6326,sodium voltage-gated channel alpha subunit 2
WASHC4,5,"{'19CT048087': 1, '19CT040732': 1, '20A0004392': 1, '19CT044501': 1, '19CT016404': 1}",hsa:23325,WASH complex subunit 4
MYO9B,5,"{'19CT051360': 1, 'DS184317': 1, '19CT016404': 1, '19CT014597': 1, '19CT041822': 1}",hsa:4650,myosin IXB
NALCN,5,"{'19CT048087': 1, '19CT046369': 1, 'DS187051': 1, '19CT044338': 1, '20A0007427': 1}",hsa:259232,"sodium leak channel, non-selective"
SRCAP,5,"{'19CT048087': 1, '19CT030002': 1, '19CT028732': 1, '19PA009444': 1, '19CT046414': 1}",hsa:10847,Snf2 related CREBBP activator protein
KRT26,5,"{'19CT048087': 1, '20A0004325': 1, 'DS184317': 1, '19CT036523': 1, '19CT046414': 1}",hsa:353288,keratin 26
IDH2,5,"{'19CT039895': 1, '19CT013554': 1, '19CT024234': 1, '19CT039890': 1, '19CT016403': 1}",hsa:3418,isocitrate dehydrogenase (NADP(+)) 2
IARS1,5,"{'18PA008847': 1, '19PA009444': 1, '19CT024296': 1, '19CT031559': 1, '19CT041822': 1}",hsa:3376,isoleucyl-tRNA synthetase 1
PLCB1,5,"{'19CT048087': 1, '20A0008882': 1, '19CT034641': 1, '19CT052347': 1, '19CT041822': 1}",hsa:23236,phospholipase C beta 1
MED13,5,"{'19CT051360': 1, '20A0002973': 1, '19CT039196': 1, '19PA009444': 1, '19CT014597': 1}",hsa:9969,mediator complex subunit 13
RYR2,5,"{'19CT046369': 1, '20A0002478': 1, '19CT016837': 1, '18PA004715': 1, '19PA009214': 1}",hsa:6262,ryanodine receptor 2
MKS1,5,"{'19CT051360': 1, '19CT020478': 1, '19CT034641': 1, '19CT035369': 1, '20A0002063': 1}",hsa:54903,MKS transition zone complex subunit 1
ZFPM2,5,"{'19CT028732': 1, '19CT044338': 1, '19CT031559': 1, '19CT046414': 1, '19CT016404': 1}",hsa:23414,"zinc finger protein, FOG family member 2"
GALR3,5,"{'18PA006387': 1, '19CT024234': 1, '20A0008697': 1, '20A0008696': 1, '19CT021756': 1}",hsa:8484,galanin receptor 3
BBS2,5,"{'19CT024233': 1, '19PA009444': 1, '19CT024299': 1, '19CT021756': 1, '20A0004030': 1}",hsa:583,Bardet-Biedl syndrome 2
CTU2,5,"{'19CT024233': 1, 'DS184317': 1, '20A0007427': 1, '19CT046414': 1, '20A0004401': 1}",hsa:348180,cytosolic thiouridylase subunit 2
ZBTB11,5,"{'19CT048087': 1, 'DS184317': 1, '18PA004934': 1, '19CT034643': 1, '19CT016403': 1}",hsa:27107,zinc finger and BTB domain containing 11
CADM1,5,"{'19CT034631': 1, '19PA009666': 1, '20A0007427': 1, '19CT031559': 1, '19CT014597': 1}",hsa:23705,cell adhesion molecule 1
HIVEP2,5,"{'19CT034641': 1, '19CT039895': 1, '19PA009444': 1, '19CT039890': 1, '19CT016404': 1}",hsa:3097,HIVEP zinc finger 2
AMPD1,5,"{'19CT034641': 1, '19CT039890': 1, '19CT016404': 1, '19PA009214': 1, '19CT039201': 1}",hsa:270,adenosine monophosphate deaminase 1
PCDHA1,5,"{'19CT034631': 1, '19CT020478': 1, '20A0004392': 1, '19CT036523': 1, '18PA004934': 1}",hsa:56147,protocadherin alpha 1
DAG1,5,"{'20A0004392': 1, '19CT013554': 1, '18PA004715': 1, '20A0002445': 1, '19CT045844': 1}",hsa:1605,dystroglycan 1
CENPF,5,"{'19PA009666': 1, '19CT034845': 1, '19CT041295': 1, '19CT046414': 1, '20A0004030': 1}",hsa:1063,centromere protein F
PARD3B,5,"{'19PA009666': 1, '19CT044501': 2, '19CT013554': 1, '20A0007427': 1}",,
ANKS1B,5,"{'19CT044120': 1, '19CT030002': 1, '20A0002445': 1, '19PA009669': 1, '19CT014597': 1}",hsa:56899,ankyrin repeat and sterile alpha motif domain containing 1B
DHTKD1,5,"{'19CT044120': 1, '19CT040719': 1, '20A0008882': 1, '19CT016837': 1, '18PA004940': 1}",hsa:55526,dehydrogenase E1 and transketolase domain containing 1
PRSS12,5,"{'19CT044120': 1, '19CT044751': 1, '19CT040892': 1, '19PA009666': 1, '19PA009669': 1}",hsa:8492,serine protease 12
PIGQ,5,"{'19CT034631': 1, '19CT040719': 1, '19CT034643': 1, '19CT045844': 1, '19CT014597': 1}",hsa:9091,phosphatidylinositol glycan anchor biosynthesis class Q
NCKAP5,5,"{'20A0004217': 1, '19CT013554': 1, '20A0004327': 1, '18PA004940': 1, '19CT031909': 1}",,
INPP5E,5,"{'19CT044120': 1, '20A0008698': 1, '20A0002445': 1, '20A0008696': 1, '20A0000618': 1}",hsa:56623,inositol polyphosphate-5-phosphatase E
KCNT2,5,"{'20A0004217': 1, '20A0000620': 2, '18PA006387': 1, '20A0004327': 1}",hsa:343450,potassium sodium-activated channel subfamily T member 2
CARD14,5,"{'19CT034631': 1, '18PA004616': 1, '19CT044338': 1, '20A0007427': 1, '19CT046414': 1}",hsa:79092,caspase recruitment domain family member 14
SHH,5,"{'19CT035369': 1, '19CT041295': 1, '20A0008697': 1, '20A0001282': 1, '20A0008696': 1}",hsa:6469,sonic hedgehog signaling molecule
LDLR,5,"{'19CT034631': 1, '19CT044501': 1, '19PA009444': 1, '19CT024234': 1, '19CT021756': 1}",hsa:3949,low density lipoprotein receptor
PRICKLE1,5,"{'19CT051360': 2, 'DS184317': 2, '18PA004940': 1}",hsa:144165,prickle planar cell polarity protein 1
CIC,5,"{'19CT048087': 2, '19CT035369': 1, '19CT041747': 1, '20A0002063': 1}",hsa:23152,capicua transcriptional repressor
CACNA1H,5,"{'19CT046369': 1, '19CT040719': 1, '19CT016837': 1, '19PA009444': 1, '20A0008697': 1}",hsa:8912,calcium voltage-gated channel subunit alpha1 H
CACNA1A,5,"{'19CT039196': 1, '19CT046414': 1, '19CT031909': 2, '19CT014597': 1}",hsa:773,calcium voltage-gated channel subunit alpha1 A
TBC1D5,5,"{'19CT024854': 1, '19CT046641': 1, '19CT034845': 1, '19CT039895': 1, '19CT039890': 1}",hsa:9779,TBC1 domain family member 5
PTF1A,5,"{'19CT040719': 1, '19CT030702': 1, '19CT040732': 1, '19CT028732': 1, '20A0000618': 1}",hsa:256297,pancreas associated transcription factor 1a
CELF2,5,"{'19CT016837': 1, '18PA004616': 1, '19CT044501': 1, '18PA006387': 1, '20A0002445': 1}",hsa:10659,CUGBP Elav-like family member 2
RSF1,5,"{'19CT040719': 1, '20A0004325': 1, '19CT044566': 1, '20A0004217': 1, '18PA004940': 1}",hsa:51773,remodeling and spacing factor 1
KAT2B,5,"{'19CT016837': 1, '19CT046641': 1, '19CT034641': 1, '19CT035369': 2}",hsa:8850,lysine acetyltransferase 2B
VAC14,5,"{'19CT046369': 1, '18PA008847': 1, '19CT036523': 1, '19CT034643': 1, '20A0004030': 1}",hsa:55697,VAC14 component of PIKFYVE complex
DMXL2,5,"{'19CT041295': 1, '20A0002445': 1, '19PA009669': 1, '19CT031559': 1, '20A0002063': 1}",hsa:23312,Dmx like 2
SLC7A8,5,"{'19CT040719': 1, '19CT044751': 1, '19CT024299': 1, '19CT046414': 1, '18PA004940': 1}",hsa:23428,solute carrier family 7 member 8
ATP10A,5,"{'19CT040719': 1, '19CT036523': 1, '18PA004934': 1, '19CT041295': 1, '19CT024296': 1}",hsa:57194,ATPase phospholipid transporting 10A (putative)
ASH1L,5,"{'19CT016837': 2, '20A0008697': 1, '20A0008696': 1, '20A0000618': 1}",hsa:55870,ASH1 like histone lysine methyltransferase
LONP1,5,"{'19CT036423': 1, '19PA009666': 1, '19PA009669': 1, '20A0004401': 1, '20A0001282': 1}",hsa:9361,"lon peptidase 1, mitochondrial"
AR,5,"{'19CT040719': 1, '19CT040732': 1, '19CT036423': 1, '18PA004934': 1, '19CT045844': 1}",hsa:367,androgen receptor
NCOA2,5,"{'19CT024234': 2, '18PA004715': 1, '19CT031559': 1, '19CT021756': 1}",hsa:10499,nuclear receptor coactivator 2
SCN3A,5,"{'19CT051360': 1, '19CT024854': 1, 'DS184317': 1, '18PA006387': 1, '20A0000412': 1}",hsa:6328,sodium voltage-gated channel alpha subunit 3
PCDHA9,5,"{'20A0002478': 2, '19CT034641': 1, '19CT039890': 1, '19CT034643': 1}",hsa:9752,protocadherin alpha 9
AFF4,5,"{'19CT040719': 1, '20A0004217': 1, '19CT035369': 1, '19CT044501': 1, '20A0004327': 1}",hsa:27125,AF4/FMR2 family member 4
ZNF142,5,"{'19CT034631': 1, '19CT013554': 1, '19CT039196': 1, '19CT041295': 1, '20A0004401': 1}",hsa:7701,zinc finger protein 142
QARS1,5,"{'19CT046641': 1, '19CT028732': 1, '19CT024233': 1, '19PA009666': 1, '18PA004616': 1}",hsa:5859,glutaminyl-tRNA synthetase 1
SPTBN2,5,"{'19CT046641': 1, '20A0004392': 1, '18PA006387': 2, '19CT016404': 1}",hsa:6712,"spectrin beta, non-erythrocytic 2"
STIL,5,"{'19CT046641': 1, '18PA006387': 1, '19CT030925': 1, '19CT041747': 1, '19CT031559': 1}",hsa:6491,STIL centriolar assembly protein
MRPS22,5,"{'19CT044566': 1, '20A0000620': 2, '19CT052347': 1, '20A0001282': 1}",hsa:56945,mitochondrial ribosomal protein S22
ZC3H4,5,"{'19CT046369': 1, '19CT036423': 1, '19CT036523': 1, '19PA009444': 1, '18PA004715': 1}",hsa:23211,zinc finger CCCH-type containing 4
PTK7,5,"{'19CT051360': 1, '19CT036523': 1, '19CT016404': 1, '20A0000618': 1, '20A0004030': 1}",hsa:5754,protein tyrosine kinase 7 (inactive)
SCN10A,5,"{'19CT040719': 1, '20A0000620': 1, '19PA009669': 2, '19CT031909': 1}",hsa:6336,sodium voltage-gated channel alpha subunit 10
MET,5,"{'19CT051360': 1, '19CT046369': 1, '20A0001282': 1, '19CT045844': 1, '19CT031909': 1}",hsa:4233,"MET proto-oncogene, receptor tyrosine kinase"
MYH9,5,"{'19CT044566': 1, '20A0004392': 1, '20A0002445': 1, '20A0004327': 1, '20A0004030': 1}",hsa:4627,myosin heavy chain 9
SCYL1,4,"{'18PA004715': 1, '19CT024296': 1, '19CT024299': 1, '19CT046414': 1}",hsa:57410,SCY1 like pseudokinase 1
COX15,4,"{'19PA009444': 1, '18PA004715': 1, '20A0004327': 1, '19CT046414': 1}",hsa:1355,cytochrome c oxidase assembly homolog COX15
AHCY,4,"{'18PA006387': 1, '20A0002445': 1, '19CT031559': 1, '19CT016404': 1}",hsa:191,adenosylhomocysteinase
PLEKHG2,4,"{'19PA009666': 1, '19CT039196': 1, '19PA009444': 1, '19PA009669': 1}",hsa:64857,pleckstrin homology and RhoGEF domain containing G2
DHPS,4,"{'19PA009666': 1, '19PA009669': 1, '19CT046414': 1, '18PA004940': 1}",,
CREBBP,4,"{'19CT052347': 1, '19CT039196': 1, '19CT024234': 1, '20A0002063': 1}",hsa:1387,CREB binding protein
WDPCP,4,"{'19CT030002': 1, '19CT044501': 1, '19CT039895': 1, '19CT039890': 1}",hsa:51057,WD repeat containing planar cell polarity effector
CNOT1,4,"{'20A0004392': 1, '18PA004616': 1, '20A0002063': 1, '19CT041822': 1}",hsa:23019,CCR4-NOT transcription complex subunit 1
