hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:83737 ITCH; itchy E3 ubiquitin protein ligase
  hsa:81603 TRIM8; tripartite motif containing 8
  hsa:80204 FBXO11; F-box protein 11
  hsa:80311 KLHL15; kelch like family member 15
  hsa:8139 GAN; gigaxonin
  hsa:8405 SPOP; speckle type BTB/POZ protein
  hsa:8216 LZTR1; leucine zipper like transcription regulator 1
  hsa:80344 DCAF11; DDB1 and CUL4 associated factor 11
  hsa:80067 DCAF17; DDB1 and CUL4 associated factor 17
  hsa:80232 WDR26; WD repeat domain 26
  hsa:8239 USP9X; ubiquitin specific peptidase 9 X-linked
  hsa:8287 USP9Y; ubiquitin specific peptidase 9 Y-linked
  hsa:84231 TRAF7; TNF receptor associated factor 7
  hsa:84282 RNF135; ring finger protein 135
  hsa:8453 CUL2; cullin 2
  hsa:8452 CUL3; cullin 3
  hsa:84464 SLX4; SLX4 structure-specific endonuclease subunit
  hsa:8450 CUL4B; cullin 4B
  hsa:85015 USP45; ubiquitin specific peptidase 45
  hsa:84132 USP42; ubiquitin specific peptidase 42
  hsa:89910 UBE3B; ubiquitin protein ligase E3B
  hsa:8925 HERC1; HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
  hsa:8924 HERC2; HECT and RLD domain containing E3 ubiquitin protein ligase 2
  hsa:867 CBL; Cbl proto-oncogene
  hsa:8945 BTRC; beta-transducin repeat containing E3 ubiquitin protein ligase
  hsa:89970 RSPRY1; ring finger and SPRY domain containing 1
  hsa:9690 UBE3C; ubiquitin protein ligase E3C
  hsa:9320 TRIP12; thyroid hormone receptor interactor 12
  hsa:9841 ZBTB24; zinc finger and BTB domain containing 24
  hsa:9820 CUL7; cullin 7
  hsa:9958 USP15; ubiquitin specific peptidase 15

hsa01001 Protein kinases (104)

  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:1024 CDK8; cyclin dependent kinase 8
  hsa:1025 CDK9; cyclin dependent kinase 9
  hsa:10295 BCKDK; branched chain keto acid dehydrogenase kinase
  hsa:11113 CIT; citron rho-interacting serine/threonine kinase
  hsa:112858 TP53RK; TP53 regulating kinase
  hsa:10733 PLK4; polo like kinase 4
  hsa:11011 TLK2; tousled like kinase 2
  hsa:114783 LMTK3; lemur tyrosine kinase 3
  hsa:1454 CSNK1E; casein kinase 1 epsilon
  hsa:1457 CSNK2A1; casein kinase 2 alpha 1
  hsa:149420 PDIK1L; PDLIM1 interacting kinase 1 like
  hsa:1436 CSF1R; colony stimulating factor 1 receptor
  hsa:1760 DMPK; DM1 protein kinase
  hsa:150094 SIK1; salt inducible kinase 1
  hsa:1859 DYRK1A; dual specificity tyrosine phosphorylation regulated kinase 1A
  hsa:2260 
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:2048 EPHB2; EPH receptor B2
  hsa:22983 MAST1; microtubule associated serine/threonine kinase 1
  hsa:23097 CDK19; cyclin dependent kinase 19
  hsa:23043 
  hsa:23683 PRKD3; protein kinase D3
  hsa:25865 PRKD2; protein kinase D2
  hsa:23476 BRD4; bromodomain containing 4
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:2444 FRK; fyn related Src family tyrosine kinase
  hsa:27347 STK39; serine/threonine kinase 39
  hsa:2931 GSK3A; glycogen synthase kinase 3 alpha
  hsa:30811 HUNK; hormonally up-regulated Neu-associated kinase
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:4139 MARK1; microtubule affinity regulating kinase 1
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
  hsa:4294 MAP3K10; mitogen-activated protein kinase kinase kinase 10
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:4638 MYLK; myosin light chain kinase
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:4914 NTRK1; neurotrophic receptor tyrosine kinase 1
  hsa:4915 NTRK2; neurotrophic receptor tyrosine kinase 2
  hsa:4916 NTRK3; neurotrophic receptor tyrosine kinase 3
  hsa:4920 ROR2; receptor tyrosine kinase like orphan receptor 2
  hsa:5062 PAK2; p21 (RAC1) activated kinase 2
  hsa:5063 PAK3; p21 (RAC1) activated kinase 3
  hsa:5164 PDK2; pyruvate dehydrogenase kinase 2
  hsa:51592 TRIM33; tripartite motif containing 33
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:53944 CSNK1G1; casein kinase 1 gamma 1
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:5586 PKN2; protein kinase N2
  hsa:5587 PRKD1; protein kinase D1
  hsa:55681 SCYL2; SCY1 like pseudokinase 2
  hsa:55359 STYK1; serine/threonine/tyrosine kinase 1
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:57551 TAOK1; TAO kinase 1
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:57410 SCYL1; SCY1 like pseudokinase 1
  hsa:56997 COQ8A; coenzyme Q8A
  hsa:5591 PRKDC; protein kinase, DNA-activated, catalytic subunit
  hsa:5754 PTK7; protein tyrosine kinase 7 (inactive)
  hsa:6197 RPS6KA3; ribosomal protein S6 kinase A3
  hsa:6196 RPS6KA2; ribosomal protein S6 kinase A2
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:65267 WNK3; WNK lysine deficient protein kinase 3
  hsa:658 BMPR1B; bone morphogenetic protein receptor type 1B
  hsa:7273 TTN; titin
  hsa:7204 TRIO; trio Rho guanine nucleotide exchange factor
  hsa:6792 CDKL5; cyclin dependent kinase like 5
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:701 BUB1B; BUB1 mitotic checkpoint serine/threonine kinase B
  hsa:6872 TAF1; TATA-box binding protein associated factor 1
  hsa:7301 TYRO3; TYRO3 protein tyrosine kinase
  hsa:7010 TEK; TEK receptor tyrosine kinase
  hsa:7443 VRK1; VRK serine/threonine kinase 1
  hsa:814 CAMK4; calcium/calmodulin dependent protein kinase IV
  hsa:815 CAMK2A; calcium/calmodulin dependent protein kinase II alpha
  hsa:816 CAMK2B; calcium/calmodulin dependent protein kinase II beta
  hsa:818 CAMK2G; calcium/calmodulin dependent protein kinase II gamma
  hsa:8317 CDC7; cell division cycle 7
  hsa:8295 TRRAP; transformation/transcription domain associated protein
  hsa:8573 CASK; calcium/calmodulin dependent serine protein kinase
  hsa:8558 CDK10; cyclin dependent kinase 10
  hsa:8621 CDK13; cyclin dependent kinase 13
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:84197 POMK; protein O-mannose kinase
  hsa:9024 BRSK2; BR serine/threonine kinase 2
  hsa:8997 KALRN; kalirin RhoGEF kinase
  hsa:92335 STRADA; STE20 related adaptor alpha
  hsa:90 
  hsa:9578 CDC42BPB; CDC42 binding protein kinase beta
  hsa:9891 NUAK1; NUAK family kinase 1
  hsa:9344 TAOK2; TAO kinase 2
  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:93627 TBCK; TBC1 domain containing kinase

hsa04040 Ion channels (99)

  hsa:10369 CACNG2; calcium voltage-gated channel auxiliary subunit gamma 2
  hsa:10089 KCNK7; potassium two pore domain channel subfamily K member 7
  hsa:1135 CHRNA2; cholinergic receptor nicotinic alpha 2 subunit
  hsa:1137 CHRNA4; cholinergic receptor nicotinic alpha 4 subunit
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:1142 CHRNB3; cholinergic receptor nicotinic beta 3 subunit
  hsa:1181 CLCN2; chloride voltage-gated channel 2
  hsa:1183 CLCN4; chloride voltage-gated channel 4
  hsa:1186 CLCN7; chloride voltage-gated channel 7
  hsa:170572 HTR3C; 5-hydroxytryptamine receptor 3C
  hsa:2554 GABRA1; gamma-aminobutyric acid type A receptor subunit alpha1
  hsa:2555 GABRA2; gamma-aminobutyric acid type A receptor subunit alpha2
  hsa:2556 GABRA3; gamma-aminobutyric acid type A receptor subunit alpha3
  hsa:2557 GABRA4; gamma-aminobutyric acid type A receptor subunit alpha4
  hsa:2558 GABRA5; gamma-aminobutyric acid type A receptor subunit alpha5
  hsa:2560 GABRB1; gamma-aminobutyric acid type A receptor subunit beta1
  hsa:2562 GABRB3; gamma-aminobutyric acid type A receptor subunit beta3
  hsa:2561 GABRB2; gamma-aminobutyric acid type A receptor subunit beta2
  hsa:2566 GABRG2; gamma-aminobutyric acid type A receptor subunit gamma2
  hsa:2567 GABRG3; gamma-aminobutyric acid type A receptor subunit gamma3
  hsa:27012 KCNV1; potassium voltage-gated channel modifier subfamily V member 1
  hsa:259232 NALCN; sodium leak channel, non-selective
  hsa:2742 GLRA2; glycine receptor alpha 2
  hsa:2890 GRIA1; glutamate ionotropic receptor AMPA type subunit 1
  hsa:2891 GRIA2; glutamate ionotropic receptor AMPA type subunit 2
  hsa:2892 GRIA3; glutamate ionotropic receptor AMPA type subunit 3
  hsa:2893 GRIA4; glutamate ionotropic receptor AMPA type subunit 4
  hsa:2898 GRIK2; glutamate ionotropic receptor kainate type subunit 2
  hsa:2899 GRIK3; glutamate ionotropic receptor kainate type subunit 3
  hsa:2900 GRIK4; glutamate ionotropic receptor kainate type subunit 4
  hsa:2901 GRIK5; glutamate ionotropic receptor kainate type subunit 5
  hsa:2894 
  hsa:2895 GRID2; glutamate ionotropic receptor delta type subunit 2
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:285175 UNC80; unc-80 homolog, NALCN channel complex subunit
  hsa:3359 HTR3A; 5-hydroxytryptamine receptor 3A
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:3736 KCNA1; potassium voltage-gated channel subfamily A member 1
  hsa:3737 KCNA2; potassium voltage-gated channel subfamily A member 2
  hsa:3739 KCNA4; potassium voltage-gated channel subfamily A member 4
  hsa:3745 KCNB1; potassium voltage-gated channel subfamily B member 1
  hsa:3746 KCNC1; potassium voltage-gated channel subfamily C member 1
  hsa:3751 KCND2; potassium voltage-gated channel subfamily D member 2
  hsa:343450 KCNT2; potassium sodium-activated channel subfamily T member 2
  hsa:348980 HCN1; hyperpolarization activated cyclic nucleotide gated potassium channel 1
  hsa:3752 KCND3; potassium voltage-gated channel subfamily D member 3
  hsa:3756 KCNH1; potassium voltage-gated channel subfamily H member 1
  hsa:3785 KCNQ2; potassium voltage-gated channel subfamily Q member 2
  hsa:3786 KCNQ3; potassium voltage-gated channel subfamily Q member 3
  hsa:3790 KCNS3; potassium voltage-gated channel modifier subfamily S member 3
  hsa:3778 KCNMA1; potassium calcium-activated channel subfamily M alpha 1
  hsa:3782 KCNN3; potassium calcium-activated channel subfamily N member 3
  hsa:3763 
  hsa:3766 KCNJ10; potassium inwardly rectifying channel subfamily J member 10
  hsa:3767 KCNJ11; potassium inwardly rectifying channel subfamily J member 11
  hsa:3768 KCNJ12; potassium inwardly rectifying channel subfamily J member 12
  hsa:3772 KCNJ15; potassium inwardly rectifying channel subfamily J member 15
  hsa:4308 TRPM1; transient receptor potential cation channel subfamily M member 1
  hsa:5026 P2RX5; purinergic receptor P2X 5
  hsa:50801 KCNK4; potassium two pore domain channel subfamily K member 4
  hsa:51305 KCNK9; potassium two pore domain channel subfamily K member 9
  hsa:54714 CNGB3; cyclic nucleotide gated channel subunit beta 3
  hsa:55799 CACNA2D3; calcium voltage-gated channel auxiliary subunit alpha2delta 3
  hsa:55129 ANO10; anoctamin 10
  hsa:56479 KCNQ5; potassium voltage-gated channel subfamily Q member 5
  hsa:57192 MCOLN1; mucolipin TRP cation channel 1
  hsa:6323 SCN1A; sodium voltage-gated channel alpha subunit 1
  hsa:6324 SCN1B; sodium voltage-gated channel beta subunit 1
  hsa:57582 KCNT1; potassium sodium-activated channel subfamily T member 1
  hsa:59341 TRPV4; transient receptor potential cation channel subfamily V member 4
  hsa:57578 UNC79; unc-79 homolog, NALCN channel complex subunit
  hsa:6262 RYR2; ryanodine receptor 2
  hsa:6326 SCN2A; sodium voltage-gated channel alpha subunit 2
  hsa:6328 SCN3A; sodium voltage-gated channel alpha subunit 3
  hsa:6329 SCN4A; sodium voltage-gated channel alpha subunit 4
  hsa:6334 
  hsa:6335 SCN9A; sodium voltage-gated channel alpha subunit 9
  hsa:6336 SCN10A; sodium voltage-gated channel alpha subunit 10
  hsa:63982 ANO3; anoctamin 3
  hsa:63895 PIEZO2; piezo type mechanosensitive ion channel component 2
  hsa:7225 TRPC6; transient receptor potential cation channel subfamily C member 6
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:781 CACNA2D1; calcium voltage-gated channel auxiliary subunit alpha2delta 1
  hsa:782 CACNB1; calcium voltage-gated channel auxiliary subunit beta 1
  hsa:783 CACNB2; calcium voltage-gated channel auxiliary subunit beta 2
  hsa:80036 TRPM3; transient receptor potential cation channel subfamily M member 3
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:9254 CACNA2D2; calcium voltage-gated channel auxiliary subunit alpha2delta 2
  hsa:9132 KCNQ4; potassium voltage-gated channel subfamily Q member 4

hsa02000 Transporters (98)

  hsa:10347 ABCA7; ATP binding cassette subfamily A member 7
  hsa:10349 ABCA10; ATP binding cassette subfamily A member 10
  hsa:10060 ABCC9; ATP binding cassette subfamily C member 9
  hsa:10479 SLC9A6; solute carrier family 9 member A6
  hsa:10166 SLC25A15; solute carrier family 25 member 15
  hsa:10237 SLC35B1; solute carrier family 35 member B1
  hsa:10577 NPC2; NPC intracellular cholesterol transporter 2
  hsa:114571 SLC22A9; solute carrier family 22 member 9
  hsa:115286 SLC25A26; solute carrier family 25 member 26
  hsa:10999 SLC27A4; solute carrier family 27 member 4
  hsa:113235 SLC46A1; solute carrier family 46 member 1
  hsa:113278 SLC52A3; solute carrier family 52 member 3
  hsa:112476 PRRT2; proline rich transmembrane protein 2
  hsa:124565 SLC38A10; solute carrier family 38 member 10
  hsa:119559 SFXN4; sideroflexin 4
  hsa:123606 NIPA1; NIPA magnesium transporter 1
  hsa:154664 ABCA13; ATP binding cassette subfamily A member 13
  hsa:1678 TIMM8A; translocase of inner mitochondrial membrane 8A
  hsa:20 ABCA2; ATP binding cassette subfamily A member 2
  hsa:22 ABCB7; ATP binding cassette subfamily B member 7
  hsa:215 ABCD1; ATP binding cassette subfamily D member 1
  hsa:222962 SLC29A4; solute carrier family 29 member 4
  hsa:23428 SLC7A8; solute carrier family 7 member 8
  hsa:25769 SLC24A2; solute carrier family 24 member 2
  hsa:23443 SLC35A3; solute carrier family 35 member A3
  hsa:23446 SLC44A1; solute carrier family 44 member 1
  hsa:256471 MFSD8; major facilitator superfamily domain containing 8
  hsa:2348 FOLR1; folate receptor alpha
  hsa:26503 SLC17A5; solute carrier family 17 member 5
  hsa:2706 GJB2; gap junction protein beta 2
  hsa:285195 SLC9A9; solute carrier family 9 member A9
  hsa:284111 SLC13A5; solute carrier family 13 member 5
  hsa:28234 SLCO1B3; solute carrier organic anion transporter family member 1B3
  hsa:284439 SLC25A42; solute carrier family 25 member 42
  hsa:30061 SLC40A1; solute carrier family 40 member 1
  hsa:28982 FLVCR1; FLVCR heme transporter 1
  hsa:2944 GSTM1; glutathione S-transferase mu 1
  hsa:340024 SLC6A19; solute carrier family 6 member 19
  hsa:388662 SLC6A17; solute carrier family 6 member 17
  hsa:4864 NPC1; NPC intracellular cholesterol transporter 1
  hsa:51629 SLC25A39; solute carrier family 25 member 39
  hsa:50651 SLC45A1; solute carrier family 45 member 1
  hsa:5350 PLN; phospholamban
  hsa:54499 TMCO1; transmembrane and coiled-coil domains 1
  hsa:54805 CNNM2; cyclin and CBS domain divalent metal cation transport mediator 2
  hsa:55356 SLC22A15; solute carrier family 22 member 15
  hsa:55343 SLC35C1; solute carrier family 35 member C1
  hsa:55640 FLVCR2; FLVCR heme transporter 2
  hsa:55858 TMEM165; transmembrane protein 165
  hsa:57282 SLC4A10; solute carrier family 4 member 10
  hsa:57468 SLC12A5; solute carrier family 12 member 5
  hsa:56172 ANKH; ANKH inorganic pyrophosphate transport regulator
  hsa:57165 GJC2; gap junction protein gamma 2
  hsa:5826 ABCD4; ATP binding cassette subfamily D member 4
  hsa:60482 SLC5A7; solute carrier family 5 member 7
  hsa:6505 SLC1A1; solute carrier family 1 member 1
  hsa:6506 SLC1A2; solute carrier family 1 member 2
  hsa:6509 SLC1A4; solute carrier family 1 member 4
  hsa:6513 SLC2A1; solute carrier family 2 member 1
  hsa:6529 SLC6A1; solute carrier family 6 member 1
  hsa:6531 SLC6A3; solute carrier family 6 member 3
  hsa:6532 SLC6A4; solute carrier family 6 member 4
  hsa:6536 SLC6A9; solute carrier family 6 member 9
  hsa:6535 SLC6A8; solute carrier family 6 member 8
  hsa:6546 SLC8A1; solute carrier family 8 member A1
  hsa:6550 SLC9A3; solute carrier family 9 member A3
  hsa:6558 SLC12A2; solute carrier family 12 member 2
  hsa:6567 SLC16A2; solute carrier family 16 member 2
  hsa:6571 SLC18A2; solute carrier family 18 member A2
  hsa:6572 SLC18A3; solute carrier family 18 member A3
  hsa:6584 SLC22A5; solute carrier family 22 member 5
  hsa:6576 SLC25A1; solute carrier family 25 member 1
  hsa:64116 SLC39A8; solute carrier family 39 member 8
  hsa:64220 STRA6; signaling receptor and transporter of retinol STRA6
  hsa:6786 STIM1; stromal interaction molecule 1
  hsa:79751 SLC25A22; solute carrier family 25 member 22
  hsa:788 SLC25A20; solute carrier family 25 member 20
  hsa:7355 SLC35A2; solute carrier family 35 member A2
  hsa:79581 SLC52A2; solute carrier family 52 member 2
  hsa:8140 SLC7A5; solute carrier family 7 member 5
  hsa:80704 SLC19A3; solute carrier family 19 member 3
  hsa:81614 NIPA2; NIPA magnesium transporter 2
  hsa:7991 TUSC3; tumor suppressor candidate 3
  hsa:84889 SLC7A3; solute carrier family 7 member 3
  hsa:84679 SLC9A7; solute carrier family 9 member A7
  hsa:8604 SLC25A12; solute carrier family 25 member 12
  hsa:84879 MFSD2A; major facilitator superfamily domain containing 2A
  hsa:8671 SLC4A4; solute carrier family 4 member 4
  hsa:9152 SLC6A5; solute carrier family 6 member 5
  hsa:9056 SLC7A7; solute carrier family 7 member 7
  hsa:9197 SLC33A1; solute carrier family 33 member 1
  hsa:89872 AQP10; aquaporin 10
  hsa:8799 PEX11B; peroxisomal biogenesis factor 11 beta
  hsa:91869 RFT1; RFT1 homolog
  hsa:92609 TIMM50; translocase of inner mitochondrial membrane 50
  hsa:9481 SLC25A27; solute carrier family 25 member 27
  hsa:9725 TMEM63A; transmembrane protein 63A
  hsa:9990 SLC12A6; solute carrier family 12 member 6

hsa04812 Cytoskeleton proteins (98)

  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:10300 KATNB1; katanin regulatory subunit B1
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:10297 APC2; APC regulator of WNT signaling pathway 2
  hsa:11151 CORO1A; coronin 1A
  hsa:10749 KIF1C; kinesin family member 1C
  hsa:10844 TUBGCP2; tubulin gamma complex associated protein 2
  hsa:114791 TUBGCP5; tubulin gamma complex associated protein 5
  hsa:120 ADD3; adducin 3
  hsa:128239 IQGAP3; IQ motif containing GTPase activating protein 3
  hsa:1729 DIAPH1; diaphanous related formin 1
  hsa:1496 CTNNA2; catenin alpha 2
  hsa:1756 DMD; dystrophin
  hsa:1778 DYNC1H1; dynein cytoplasmic 1 heavy chain 1
  hsa:1781 DYNC1I2; dynein cytoplasmic 1 intermediate chain 2
  hsa:1641 DCX; doublecortin
  hsa:192666 KRT24; keratin 24
  hsa:203068 TUBB; tubulin beta class I
  hsa:2009 EML1; EMAP like 1
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:23026 MYO16; myosin XVI
  hsa:2316 FLNA; filamin A
  hsa:2318 FLNC; filamin C
  hsa:2312 FLG; filaggrin
  hsa:23095 KIF1B; kinesin family member 1B
  hsa:23303 KIF13B; kinesin family member 13B
  hsa:23046 KIF21B; kinesin family member 21B
  hsa:23384 SPECC1L; sperm antigen with calponin homology and coiled-coil domains 1 like
  hsa:24137 KIF4A; kinesin family member 4A
  hsa:23332 CLASP1; cytoplasmic linker associated protein 1
  hsa:23499 MACF1; microtubule actin crosslinking factor 1
  hsa:2620 GAS2; growth arrest specific 2
  hsa:2670 GFAP; glial fibrillary acidic protein
  hsa:27229 TUBGCP4; tubulin gamma complex associated protein 4
  hsa:26128 KIFBP; kinesin family binding protein
  hsa:29119 CTNNA3; catenin alpha 3
  hsa:287 ANK2; ankyrin 2
  hsa:288 ANK3; ankyrin 3
  hsa:353288 KRT26; keratin 26
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:374654 KIF7; kinesin family member 7
  hsa:4001 LMNB1; lamin B1
  hsa:3796 KIF2A; kinesin family member 2A
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:3832 KIF11; kinesin family member 11
  hsa:4130 MAP1A; microtubule associated protein 1A
  hsa:4131 MAP1B; microtubule associated protein 1B
  hsa:4137 MAPT; microtubule associated protein tau
  hsa:4139 MARK1; microtubule affinity regulating kinase 1
  hsa:4643 MYO1E; myosin IE
  hsa:4644 MYO5A; myosin VA
  hsa:4650 MYO9B; myosin IXB
  hsa:4622 MYH4; myosin heavy chain 4
  hsa:4627 MYH9; myosin heavy chain 9
  hsa:4628 MYH10; myosin heavy chain 10
  hsa:4810 NHS; NHS actin remodeling regulator
  hsa:51143 DYNC1LI1; dynein cytoplasmic 1 light intermediate chain 1
  hsa:51072 MEMO1; mediator of cell motility 1
  hsa:5339 PLEC; plectin
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:547 KIF1A; kinesin family member 1A
  hsa:55083 KIF26B; kinesin family member 26B
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:55930 MYO5C; myosin VC
  hsa:56776 FMN2; formin 2
  hsa:57477 SHROOM4; shroom family member 4
  hsa:60 ACTB; actin beta
  hsa:57731 
  hsa:57609 DIP2B; disco interacting protein 2 homolog B
  hsa:70 ACTC1; actin alpha cardiac muscle 1
  hsa:71 ACTG1; actin gamma 1
  hsa:6709 SPTAN1; spectrin alpha, non-erythrocytic 1
  hsa:6710 SPTB; spectrin beta, erythrocytic
  hsa:6711 SPTBN1; spectrin beta, non-erythrocytic 1
  hsa:6712 SPTBN2; spectrin beta, non-erythrocytic 2
  hsa:7273 TTN; titin
  hsa:667 DST; dystonin
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:7283 TUBG1; tubulin gamma 1
  hsa:6904 TBCD; tubulin folding cofactor D
  hsa:6905 TBCE; tubulin folding cofactor E
  hsa:79784 MYH14; myosin heavy chain 14
  hsa:7429 VIL1; villin 1
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:7461 CLIP2; CAP-Gly domain containing linker protein 2
  hsa:81 ACTN4; actinin alpha 4
  hsa:84056 KATNAL1; katanin catalytic subunit A1 like 1
  hsa:83473 KATNAL2; katanin catalytic subunit A1 like 2
  hsa:79884 MAP9; microtubule associated protein 9
  hsa:84700 MYO18B; myosin XVIIIB
  hsa:84687 PPP1R9B; protein phosphatase 1 regulatory subunit 9B
  hsa:84823 LMNB2; lamin B2
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:85378 TUBGCP6; tubulin gamma complex associated protein 6
  hsa:8936 WASF1; WASP family member 1
  hsa:9928 KIF14; kinesin family member 14

hsa03019 Messenger RNA biogenesis (89)

  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:10522 DEAF1; DEAF1 transcription factor
  hsa:10456 HAX1; HCLS1 associated protein X-1
  hsa:10978 CLP1; cleavage factor polyribonucleotide kinase subunit 1
  hsa:11340 EXOSC8; exosome component 8
  hsa:129563 DIS3L2; DIS3 like 3'-5' exoribonuclease 2
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
  hsa:1656 DDX6; DEAD-box helicase 6
  hsa:1993 ELAVL2; ELAV like RNA binding protein 2
  hsa:1995 ELAVL3; ELAV like RNA binding protein 3
  hsa:1977 EIF4E; eukaryotic translation initiation factor 4E
  hsa:1981 EIF4G1; eukaryotic translation initiation factor 4 gamma 1
  hsa:1917 EEF1A2; eukaryotic translation elongation factor 1 alpha 2
  hsa:192669 AGO3; argonaute RISC catalytic component 3
  hsa:192670 AGO4; argonaute RISC component 4
  hsa:2027 ENO3; enolase 3
  hsa:23070 CMTR1; cap methyltransferase 1
  hsa:23283 CSTF2T; cleavage stimulation factor subunit 2 tau variant
  hsa:23191 CYFIP1; cytoplasmic FMR1 interacting protein 1
  hsa:23293 SMG6; SMG6 nonsense mediated mRNA decay factor
  hsa:23112 TNRC6B; trinucleotide repeat containing adaptor 6B
  hsa:23019 CNOT1; CCR4-NOT transcription complex subunit 1
  hsa:23185 LARP4B; La ribonucleoprotein 4B
  hsa:23511 NUP188; nucleoporin 188
  hsa:2332 FMR1; FMRP translational regulator 1
  hsa:23708 GSPT2; G1 to S phase transition 2
  hsa:23367 LARP1; La ribonucleoprotein 1, translational regulator
  hsa:253943 YTHDF3; YTH N6-methyladenosine RNA binding protein 3
  hsa:23404 EXOSC2; exosome component 2
  hsa:26999 CYFIP2; cytoplasmic FMR1 interacting protein 2
  hsa:26058 GIGYF2; GRB10 interacting GYF protein 2
  hsa:26019 UPF2; UPF2 regulator of nonsense mediated mRNA decay
  hsa:2657 GDF1; growth differentiation factor 1
  hsa:26523 AGO1; argonaute RISC component 1
  hsa:27161 AGO2; argonaute RISC catalytic component 2
  hsa:29890 RBM15B; RNA binding motif protein 15B
  hsa:28960 DCPS; decapping enzyme, scavenger
  hsa:3064 HTT; huntingtin
  hsa:3329 HSPD1; heat shock protein family D (Hsp60) member 1
  hsa:4155 MBP; myelin basic protein
  hsa:4076 CAPRIN1; cell cycle associated protein 1
  hsa:4644 MYO5A; myosin VA
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:4849 CNOT3; CCR4-NOT transcription complex subunit 3
  hsa:51244 CCDC174; coiled-coil domain containing 174
  hsa:51010 EXOSC3; exosome component 3
  hsa:5073 PARN; poly(A)-specific ribonuclease
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:5393 EXOSC9; exosome component 9
